latitude,longitude,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_7d_mm,temperature_c,humidity_percent,elevation_m,slope_degree,aspect_degree,historical_landslide_count,landslide_occurred
10.84631,71.69787,18.74,62.37,104.78,192.28,32.86,75.73,3272.76,44.19,217.57,1,1
34.5853,80.57037,4.64,49.94,93.37,317.4,13.14,77.54,3797.34,5.7,105.69,0,0
8.77369,93.53324,9.73,76.39,138.58,289.03,15.72,61.98,4165.19,20.47,164.06,0,1
35.67322,72.93131,0.85,14.09,64.7,151.05,27.91,41.58,3888.59,19.64,125.96,0,0
17.72012,70.94355,7.23,16.76,74.7,142.2,29.03,94.17,4011.73,35.84,129.26,0,1
11.6484,89.97446,4.51,15.86,59.72,236.51,21.31,81.26,973.18,23.16,348.62,0,0
33.81983,82.96522,20.08,67.09,99.6,286.73,23.32,63.67,3667.38,18.18,147.16,0,1
11.06227,81.32837,15.37,19.59,108.59,222.15,33.08,96.22,3327.62,15.33,57.05,0,0
8.56158,72.41698,1.75,34.2,65.43,379.33,9.11,48.11,954.86,19.3,336.99,0,1
20.85235,82.6199,18.14,34.54,62.48,256.23,19.29,82.0,554.68,22.52,57.97,1,0
32.04769,68.17631,11.64,33.21,128.65,190.13,29.99,42.49,2934.47,27.96,262.53,0,1
16.31161,91.83899,5.48,54.03,87.75,363.73,23.34,52.83,3313.44,29.18,139.07,0,0
8.38325,84.67008,0.9,61.21,181.66,353.92,8.57,75.22,2749.82,27.01,306.78,0,1
33.96615,74.14709,10.99,23.9,52.4,401.57,8.24,71.91,1074.55,13.62,356.58,0,0
30.99933,70.45466,6.94,39.95,68.29,361.8,22.77,53.48,1373.29,31.87,4.74,0,1
25.38224,91.90465,28.12,41.16,117.58,319.8,8.13,82.17,2751.0,12.39,126.34,1,1
29.97576,83.65727,5.23,34.29,131.31,300.11,14.19,92.02,1720.47,22.81,309.91,0,0
26.00582,83.44936,28.85,31.18,79.45,158.99,21.95,86.24,294.62,50.53,143.35,1,1
28.82287,83.3473,10.91,22.25,80.02,327.11,31.53,54.89,770.78,29.47,326.79,0,1
12.62153,84.20492,12.14,51.73,97.97,290.48,4.74,98.39,2773.17,21.02,170.1,0,1
24.28508,91.25485,16.75,20.22,28.79,285.11,17.17,62.75,636.22,27.56,128.74,0,0
24.19488,86.42942,4.1,27.21,60.19,91.63,-1.12,97.26,2086.34,28.11,209.89,0,1
15.77383,70.72869,7.06,40.12,148.18,293.32,19.22,98.9,641.43,23.43,106.41,2,1
27.1092,74.08941,4.24,20.69,57.36,262.95,10.7,85.58,2350.23,39.79,99.11,1,1
33.70031,91.77354,3.49,40.71,109.61,211.1,-0.46,55.91,2014.74,32.88,223.53,0,1
35.40504,75.40522,9.68,15.25,47.94,406.15,27.86,95.49,1614.08,12.64,288.2,4,0
14.52877,96.61747,24.91,37.32,57.22,402.27,29.81,57.14,3283.97,5.19,227.59,2,0
22.66597,93.49397,4.0,16.59,47.35,159.73,3.36,87.63,1644.4,15.45,273.67,0,0
26.65941,81.29579,7.77,32.25,64.64,264.27,2.88,64.1,836.29,22.4,146.09,0,0
17.0189,83.08103,14.14,38.74,86.34,191.54,16.5,65.96,639.71,31.21,252.48,1,1
24.32515,73.95252,1.7,3.34,166.04,443.43,21.86,89.75,1082.47,30.14,102.41,2,1
22.55054,71.54623,10.5,40.74,85.84,263.48,12.62,90.01,988.86,32.57,34.04,0,1
20.40505,90.28565,1.24,27.42,35.69,154.1,6.54,93.25,2753.67,37.09,350.77,0,1
18.30039,93.22606,1.4,34.06,107.24,160.95,14.6,98.62,53.07,26.19,243.16,0,0
33.35106,90.51812,8.6,45.73,104.85,209.09,12.18,74.58,2352.11,36.39,3.28,0,0
17.60498,84.32852,4.34,20.14,36.36,213.65,21.32,72.99,3111.64,29.8,176.66,1,0
9.43659,86.30264,5.1,15.35,60.92,267.48,4.66,95.05,220.25,19.64,268.07,1,0
18.87735,71.28664,5.83,47.85,62.58,205.21,13.69,42.68,3342.97,35.32,13.4,0,0
9.48485,72.44655,13.95,32.74,124.98,223.28,1.47,72.8,756.05,29.94,175.26,0,1
25.58164,90.49657,19.59,40.76,95.0,448.29,23.13,80.75,560.4,49.48,324.73,1,1
11.25103,75.49064,5.56,9.47,18.24,348.32,7.96,97.91,3059.08,20.8,257.16,1,1
27.23577,71.35892,8.6,98.55,200.08,321.17,11.19,46.37,654.76,27.36,20.21,0,0
18.77348,74.38009,3.64,58.47,148.97,261.36,8.29,45.86,451.72,10.81,341.34,1,0
24.94119,75.33708,8.04,10.91,42.44,125.85,33.2,89.45,1737.05,31.08,92.12,0,0
25.8011,81.01256,24.33,62.29,133.54,385.76,25.84,40.35,3658.88,30.93,202.15,0,0
30.61729,93.65286,11.44,31.85,92.45,272.83,12.47,95.95,2429.5,17.23,348.34,1,0
19.78697,73.59529,9.91,32.68,142.41,361.58,12.23,53.93,1570.81,26.65,74.53,3,1
22.67906,68.93781,5.09,23.18,64.41,183.74,-1.72,91.49,1034.58,29.24,102.84,2,1
35.55619,77.96834,0.49,18.15,35.45,133.11,18.2,87.69,2387.98,23.49,169.55,0,0
14.45823,85.59795,15.52,30.65,54.14,236.4,8.5,71.92,2741.69,32.5,71.6,2,1
23.94384,85.37714,5.51,18.23,71.47,160.01,6.95,89.33,2662.38,21.4,26.29,0,0
24.76655,83.36574,16.65,68.54,126.89,307.91,9.65,43.66,4115.04,25.46,311.94,3,1
25.06731,74.04643,20.47,37.43,93.55,141.22,33.15,73.21,4069.5,25.99,155.86,1,1
21.47824,72.15455,8.1,38.45,114.31,372.61,23.31,70.88,3755.85,28.51,263.49,0,1
14.54181,96.49585,4.27,10.27,29.93,160.87,22.04,74.52,2586.25,39.08,133.95,1,0
8.54501,76.14794,18.46,43.31,163.99,314.87,9.2,62.8,2769.76,25.93,308.61,0,1
27.79719,83.85121,3.81,59.39,85.55,193.07,0.01,96.34,847.91,30.65,85.25,0,0
15.74852,89.40936,8.98,16.67,37.96,225.05,30.59,67.8,783.78,29.8,335.61,0,0
12.58595,81.74487,18.44,90.32,140.25,477.25,2.45,88.69,1487.48,22.3,200.19,1,1
24.13585,91.4713,14.47,28.9,67.54,223.6,10.09,87.42,3534.8,48.49,71.67,0,1
15.92762,92.90652,17.79,29.72,41.83,174.63,19.34,98.45,1212.77,38.18,150.62,0,1
15.46505,74.912,6.72,22.75,185.11,312.54,25.92,71.31,4038.89,35.49,197.09,0,1
13.20174,80.49498,7.05,24.34,37.55,184.76,33.15,67.23,1113.96,26.93,259.32,0,0
27.29001,91.23848,9.97,44.47,90.25,180.58,1.04,69.7,313.25,37.65,161.54,1,1
18.33644,92.66369,18.85,25.13,81.57,187.35,1.24,79.75,953.47,25.83,129.51,0,0
30.11983,96.3248,1.46,26.48,49.72,211.88,18.3,87.15,2324.73,21.95,309.02,0,0
18.56674,83.78926,9.28,15.52,55.83,156.52,14.73,75.26,2787.3,44.63,95.23,1,1
11.74151,85.97451,0.87,20.63,90.34,219.87,3.42,79.76,1580.88,24.1,249.04,0,0
26.59864,86.79925,7.88,32.64,67.03,369.41,8.99,76.6,1408.26,40.31,112.93,0,1
20.27724,77.69611,6.68,31.29,69.72,259.5,2.52,44.98,2223.55,19.37,331.42,0,0
24.14689,79.92936,7.08,32.04,45.92,275.67,-0.09,93.66,354.53,56.83,330.54,0,1
15.08254,83.69395,2.4,17.2,35.06,217.67,20.7,84.04,4039.99,4.02,219.86,0,0
26.23932,82.3179,23.22,44.42,50.62,193.28,25.13,46.63,2011.17,3.07,46.31,0,0
11.1315,96.62146,5.35,20.34,46.43,229.58,9.17,47.08,2063.2,29.69,199.27,1,1
21.30808,68.05753,7.37,48.32,54.52,168.88,33.57,65.9,1395.58,6.43,36.19,0,0
13.52535,86.4485,28.66,53.46,80.82,322.6,7.0,43.51,2841.01,43.63,56.07,5,1
27.03644,68.45205,30.94,51.85,159.35,283.78,12.5,40.72,177.44,34.84,28.61,0,1
18.51951,79.21665,0.28,21.27,64.39,242.51,5.76,72.43,3519.35,37.21,14.3,3,1
35.53884,71.7399,17.83,43.82,73.84,139.04,30.98,94.82,3366.41,25.42,232.5,0,0
10.64018,69.89426,1.21,8.25,57.09,431.37,1.65,98.52,1736.12,6.86,288.74,1,0
23.29396,95.43937,16.69,44.9,97.23,132.77,30.43,62.73,1243.54,22.23,198.36,1,1
11.70764,90.27171,3.83,39.28,145.46,267.54,14.1,86.0,970.42,21.21,217.97,0,1
29.38157,75.9767,6.59,120.53,132.76,326.64,17.27,92.58,3530.81,31.4,7.49,0,1
26.08467,79.36544,10.25,66.97,80.59,219.55,1.88,94.92,2047.1,12.42,238.25,0,1
14.03534,74.43037,13.67,41.73,49.54,253.64,6.38,44.28,57.86,2.69,339.94,0,0
18.14928,72.41794,29.29,77.33,114.0,178.18,10.2,59.78,1571.96,30.59,95.89,0,1
31.83077,68.67132,1.26,58.12,125.79,224.47,24.96,59.07,3335.99,31.8,11.74,2,1
20.91934,92.57978,10.52,49.99,102.5,399.34,4.12,44.01,2168.46,26.02,8.63,0,0
15.98712,88.16513,7.22,12.79,50.94,347.59,32.13,58.22,773.27,21.92,261.38,3,1
27.34904,87.15803,10.84,13.84,44.17,200.25,25.73,76.83,1259.55,43.38,9.3,0,1
11.23153,79.43396,6.47,23.79,62.73,226.26,31.68,75.15,2331.84,26.36,251.69,0,1
25.92662,77.17918,6.3,10.21,33.68,201.8,6.55,94.47,764.28,37.72,347.44,0,1
11.01003,92.6946,16.19,79.06,200.1,282.1,26.82,90.08,255.7,23.95,171.2,0,1
25.67568,89.22399,6.96,14.61,69.77,288.95,6.44,92.3,1519.1,28.71,343.92,2,0
17.39802,81.95726,12.23,22.29,64.53,218.14,10.44,47.39,2585.74,20.83,234.56,0,0
30.79306,77.69603,19.5,27.05,180.89,298.77,10.18,73.14,491.34,12.04,325.2,2,1
34.10846,70.92284,6.23,32.26,65.21,269.29,18.62,95.0,1546.44,48.57,277.99,0,1
16.12972,69.30031,30.51,62.03,117.87,269.27,28.62,90.82,232.91,37.89,328.5,1,1
12.47213,89.52843,7.53,44.22,72.72,170.29,21.51,97.52,2932.27,20.54,64.58,7,0
10.72453,70.31991,14.89,38.76,61.82,223.94,6.52,65.85,2593.06,46.91,150.8,2,1
12.44782,72.58007,9.71,25.49,67.39,287.36,21.03,96.64,22.97,13.84,110.17,1,1
17.47091,87.65251,5.07,11.3,39.44,152.04,13.97,47.66,1912.06,30.07,212.9,0,0
28.56274,72.11391,3.55,27.35,138.35,416.64,20.02,43.79,3478.23,22.69,173.79,3,1
35.81005,89.1834,7.51,37.97,114.91,317.2,8.27,63.31,1892.2,14.17,151.8,0,0
12.34865,72.70711,2.45,15.62,60.76,266.94,-0.18,56.26,3375.92,11.1,0.55,1,0
14.26818,68.13158,10.02,59.78,67.08,322.87,8.9,54.93,3774.01,37.63,103.14,1,1
13.04729,91.22413,5.13,54.35,154.63,434.16,3.25,67.82,3187.79,40.66,312.7,1,1
25.14515,77.3716,4.53,16.24,41.71,269.0,26.98,71.29,2698.48,28.73,217.03,0,1
27.62916,86.82105,3.85,38.66,95.75,323.21,23.75,65.49,3035.02,41.83,146.64,2,1
28.28517,73.94865,38.95,59.64,101.43,300.08,24.11,58.31,977.92,8.11,263.01,0,0
24.40712,90.33617,2.52,4.96,40.52,105.9,4.11,51.06,2866.26,16.47,310.68,1,0
9.01922,91.62333,5.04,10.13,52.36,330.89,4.42,88.1,806.13,36.16,290.92,1,0
35.95304,85.85264,8.3,18.92,141.18,279.04,23.34,53.04,1403.89,12.2,163.01,1,0
21.41924,95.3778,20.94,34.91,60.86,348.83,16.61,85.96,770.6,29.36,32.86,1,1
16.01265,89.29637,18.98,33.61,64.08,273.93,-1.38,74.46,1857.24,32.76,287.49,1,1
25.33428,76.25808,1.92,24.78,72.28,335.4,15.57,53.91,3658.81,26.18,22.5,5,0
20.00201,82.09864,7.08,15.53,19.3,103.34,19.11,98.4,3827.28,19.53,73.0,0,0
22.2622,68.85708,58.87,85.62,109.55,154.97,14.11,49.3,2845.6,41.28,312.94,0,1
19.27345,88.92074,16.67,26.43,84.68,138.72,22.61,83.08,3137.69,21.73,219.26,2,1
33.85698,69.82864,1.73,12.83,20.99,73.98,20.08,38.34,2283.67,30.64,321.57,5,1
29.13455,92.90532,1.37,66.24,71.79,116.29,31.05,85.02,1174.21,20.93,334.37,0,0
29.2437,90.12108,6.0,39.26,48.89,183.58,-0.35,87.91,3494.12,37.05,192.49,0,0
20.45181,94.15736,28.38,31.94,147.08,463.64,31.47,90.28,2559.99,35.01,297.4,0,1
31.60779,82.77416,16.1,25.06,99.65,216.58,14.07,97.18,1129.24,18.44,66.36,1,1
22.80602,68.99708,8.51,34.69,80.94,144.31,28.7,85.19,658.56,19.54,85.38,1,0
34.03362,73.90077,10.07,30.05,46.49,284.85,11.12,53.19,1184.8,15.16,224.69,0,0
8.97914,88.1038,14.28,25.83,76.78,306.93,33.97,44.86,610.09,10.95,75.72,6,1
30.47799,77.27885,12.86,13.56,59.46,379.73,16.23,84.36,3273.35,37.55,182.04,0,1
16.93724,92.86434,4.42,25.13,99.42,305.32,7.86,54.73,3269.35,36.7,130.74,0,1
29.77472,80.14683,5.33,18.87,50.21,253.19,31.28,68.9,3550.05,15.44,147.74,3,1
15.07008,95.02005,6.54,14.31,66.91,109.28,14.86,91.09,3040.9,30.84,28.79,0,1
33.94222,95.73095,4.47,31.06,99.66,212.85,13.15,71.62,1527.29,25.88,313.77,2,1
17.88873,87.17932,21.35,40.12,157.31,288.07,32.61,96.21,1457.06,29.04,143.87,2,1
9.27665,79.80314,3.82,16.94,43.52,140.64,7.72,93.91,700.12,25.85,327.58,1,0
33.48946,79.30406,22.54,30.67,50.11,344.3,6.16,45.09,4142.58,35.66,182.26,0,1
33.66351,75.36753,11.23,22.95,59.72,301.1,17.42,81.26,2951.08,7.76,80.96,4,0
25.65051,85.11325,21.06,37.11,227.1,367.81,5.49,65.61,2357.24,31.49,178.91,0,1
31.4237,76.44246,6.17,21.05,60.92,164.48,8.66,96.99,1097.54,29.55,66.96,4,0
16.23543,79.07779,5.33,35.82,104.12,185.61,21.29,91.27,1940.7,37.9,10.14,0,1
17.5279,96.35104,21.58,81.36,97.6,177.74,5.55,55.12,1975.1,18.42,80.16,0,0
21.52786,81.99389,23.53,41.42,76.38,134.73,15.6,50.4,2531.56,3.73,3.47,0,0
32.71821,73.06551,21.68,29.45,51.9,118.51,15.2,73.85,859.36,35.87,153.99,3,1
25.42208,81.24846,5.72,28.0,53.91,204.1,2.93,39.17,1792.85,41.97,319.73,2,0
35.70249,84.98776,0.7,99.13,139.01,581.44,3.11,56.44,4154.2,54.93,284.32,1,1
21.40606,69.69023,4.79,22.92,76.96,98.19,15.65,64.86,927.71,28.44,106.45,3,0
25.11194,79.60302,1.24,15.76,88.45,355.43,24.33,85.09,1584.46,54.45,266.53,0,1
8.58345,69.60074,12.85,20.33,24.5,432.72,23.14,71.38,3963.65,16.37,9.27,0,1
32.68699,88.09316,8.65,63.91,91.17,329.13,12.39,46.89,2643.71,28.37,218.17,1,1
22.41894,73.26124,14.74,41.57,74.1,241.34,2.46,43.9,3158.34,34.12,137.63,1,1
35.05496,78.49649,16.11,21.15,35.23,68.81,25.02,50.81,592.3,20.65,306.32,2,0
22.95103,88.04272,1.13,12.68,30.41,113.29,28.71,44.57,3125.14,46.15,308.87,0,0
10.29769,75.29447,3.41,18.68,128.27,229.2,31.48,42.87,222.06,33.58,62.85,2,1
32.85682,81.45062,10.63,35.87,104.84,329.35,19.01,68.28,3218.55,36.46,79.83,0,1
31.56258,73.64109,5.44,10.64,22.81,242.17,33.0,87.68,3737.97,13.65,175.88,0,0
9.76716,94.0467,9.73,27.09,61.34,299.75,33.51,88.53,1592.12,47.52,313.66,0,1
27.18596,91.8816,5.42,30.91,105.03,337.87,13.94,49.21,3465.55,40.67,42.1,0,1
25.98608,71.60969,3.75,22.48,44.93,177.85,27.18,38.49,2858.45,5.27,49.83,3,0
11.20197,93.76167,29.44,60.03,112.07,214.35,11.87,73.69,3341.18,36.46,312.03,0,1
20.68522,94.53075,12.14,75.15,99.25,126.65,6.31,82.23,988.06,28.48,74.0,0,1
33.89101,88.45232,0.88,3.72,102.46,184.57,6.11,50.54,129.69,13.87,119.43,1,0
14.39697,89.91364,29.78,32.0,108.89,351.78,11.19,42.89,905.78,25.1,58.02,0,0
31.71706,82.0645,3.52,21.44,83.0,180.82,27.93,87.87,477.2,24.92,235.9,1,0
10.6615,69.53538,5.21,40.95,85.36,236.9,11.9,82.54,1803.48,10.0,174.46,2,0
17.68913,90.46591,7.96,34.05,38.1,269.57,28.6,85.24,1408.4,21.66,36.28,2,1
27.5452,93.95543,8.71,26.11,104.55,316.18,-1.89,57.76,1153.78,43.46,57.59,0,1
28.18534,95.80542,10.54,53.8,64.69,124.32,23.93,48.71,3031.65,5.06,154.19,1,0
23.12772,94.77439,4.5,5.49,65.01,214.11,24.54,50.55,3575.01,26.72,264.0,1,1
33.0509,91.7896,12.54,56.62,82.57,159.43,12.01,73.0,592.56,32.21,272.34,3,1
28.78216,82.96395,2.73,20.16,52.62,225.38,-1.18,95.2,3381.43,8.35,198.71,1,0
35.21597,88.19423,1.16,45.57,81.36,313.06,17.02,56.85,2677.42,52.93,200.2,1,1
11.1699,73.09661,9.29,12.23,48.37,169.87,21.25,60.91,2559.47,43.55,160.89,0,1
14.29521,78.13847,12.73,26.28,68.33,398.98,0.24,55.29,3327.19,45.29,260.14,1,1
20.31123,87.28326,0.42,8.81,122.91,319.56,0.8,45.98,2682.09,33.55,324.31,0,1
19.32565,76.60429,11.71,17.07,106.04,310.44,15.05,52.12,2502.66,25.25,110.71,0,1
18.50239,73.6112,15.67,39.63,89.84,211.8,3.53,60.12,2309.73,28.06,244.76,0,0
14.4425,87.65756,0.73,25.99,131.02,222.69,33.13,51.93,590.03,30.32,85.6,2,1
14.16246,80.95886,3.92,36.74,92.46,189.72,23.88,64.8,4098.84,8.04,85.46,1,0
15.45081,83.89626,28.97,37.83,86.15,257.3,29.22,80.1,3506.23,41.27,254.75,0,0
30.72697,83.14347,17.78,42.98,97.65,194.99,11.18,60.34,3899.92,30.51,245.84,0,1
12.68291,77.41373,2.57,32.75,46.75,285.76,27.9,79.59,2832.07,28.78,130.28,0,1
34.91488,73.35757,2.9,14.75,135.63,246.9,26.6,52.6,4146.95,28.97,236.17,2,1
31.53859,72.81864,16.69,43.8,106.89,273.17,29.93,87.27,876.72,39.09,158.38,0,0
27.22654,88.40242,10.03,74.92,108.94,305.75,2.82,52.87,3824.49,45.74,341.94,2,1
32.20943,86.27124,5.15,18.18,184.72,507.16,4.11,57.19,1226.34,39.02,206.68,0,1
28.40301,85.93997,6.76,12.9,104.38,244.95,3.83,64.15,1877.99,27.04,71.96,0,1
28.65561,88.80007,25.56,100.82,148.01,272.39,29.18,38.14,3018.1,22.59,129.24,0,0
18.23433,69.92523,17.78,25.04,30.45,140.74,25.53,47.42,934.84,43.46,200.07,0,1
33.07895,87.28494,5.22,70.56,98.88,148.11,6.58,54.92,809.27,17.04,110.35,0,0
8.23576,82.98712,0.66,9.22,39.78,157.13,7.9,65.26,3635.96,37.32,307.09,0,0
15.30046,77.77672,1.47,26.23,97.85,188.35,32.88,65.73,2872.41,21.07,21.68,3,0
11.17566,72.80708,13.07,85.6,130.44,303.49,2.1,64.27,2366.98,50.3,187.43,0,1
11.00937,91.24345,24.72,43.83,57.72,109.67,22.03,61.38,2795.71,36.48,237.99,0,1
30.43215,90.85275,6.35,37.8,101.1,254.2,30.56,42.99,2843.8,20.07,221.04,1,1
33.03986,73.04466,4.89,15.62,47.07,173.29,24.75,93.13,3819.43,50.69,27.13,0,1
13.55963,78.29224,5.56,19.79,46.53,243.97,7.99,65.24,2968.9,13.56,36.91,0,0
13.38577,79.70331,2.28,10.03,171.56,297.85,0.66,63.86,539.59,42.37,284.12,0,1
17.65622,72.33317,9.73,36.63,96.28,155.49,5.17,44.08,110.46,27.78,84.74,1,1
8.44135,75.51099,3.56,38.75,101.59,128.05,26.19,74.38,1479.51,21.99,209.06,0,0
16.26354,86.85297,6.97,21.18,84.61,261.34,30.03,65.35,3898.33,51.34,32.94,2,1
32.20545,78.76873,4.88,14.91,130.25,141.38,24.2,86.48,2687.76,42.57,259.79,0,0
30.64084,70.85368,8.41,57.82,80.17,143.34,18.71,87.7,3767.73,31.5,329.56,3,1
12.43342,89.31711,23.72,84.11,105.34,496.11,30.87,55.04,769.01,32.1,18.48,1,1
15.73715,87.3327,3.2,37.75,140.05,314.0,28.64,63.43,2702.8,27.79,148.08,0,1
12.04274,91.89699,4.66,33.6,75.83,231.75,29.68,43.01,1358.41,32.13,138.98,2,0
21.64251,96.26462,15.39,17.01,54.86,159.92,29.22,56.04,1880.97,37.91,126.13,4,0
19.54837,75.00583,6.35,9.77,28.99,64.24,2.09,38.2,1158.36,30.92,273.54,3,0
8.36208,80.64699,12.45,40.96,136.59,283.29,8.49,80.74,991.39,52.46,0.74,0,1
33.20882,88.60217,10.27,23.43,40.39,334.23,16.62,76.62,3233.7,22.01,344.68,1,0
30.97497,89.31691,0.18,17.45,45.54,286.54,0.08,78.83,3685.37,12.96,288.43,0,0
32.2642,82.56087,5.57,86.49,137.28,223.47,17.49,93.79,3668.93,6.56,316.08,1,0
8.23284,90.1309,23.81,48.3,93.35,381.0,8.67,47.11,1861.48,12.04,145.3,4,0
18.06467,86.9777,0.48,17.35,127.17,254.71,25.28,75.5,433.89,38.23,328.87,0,1
26.49759,92.49298,7.6,27.07,36.12,95.95,13.1,93.06,3281.89,39.13,79.71,0,0
16.70496,81.02994,2.51,12.17,104.39,256.38,18.38,78.98,1288.02,24.02,123.67,0,1
10.08926,83.3203,34.77,49.08,74.58,237.43,3.93,42.79,758.59,43.04,105.82,0,1
24.5116,79.53854,24.09,68.4,95.73,240.96,33.78,80.21,3087.31,33.28,64.05,1,0
32.68427,93.09169,6.9,9.85,89.19,245.47,2.14,86.48,3017.6,28.14,153.6,0,1
